S.no,Tiktoker name,Subscribers,Views avg.,Likes avg.,Comments avg.,Shares avg.
1,jypestraykids,6400000,2300000,50200,34200,6400000
2,khaby.lame,17300000,2300000,15200,8700,17300000
3,scarlettsspam2,17900000,845800,53900,6300,17900000
4,addisonre,22000000,906600,7600,26200,22000000
5,belindatok,14200000,1500000,14500,15300,14200000
6,onwardwanna,12000000,2000000,20400,4200,12000000
7,therock,13100000,1500000,14300,11900,13100000
8,bizarrap,16200000,2700000,4200,6900,16200000
9,landonbarkerr,11700000,1200000,19100,15200,11700000
10,mrbeast,13000000,1700000,17200,2100,13000000
11,charlidamelio,15200000,959400,20800,4600,15200000
12,amauryguichon,11400000,1500000,7200,11800,11400000
13,jetbentlee,12400000,2200000,3600,6600,12400000
14,kervo.dolo,5700000,1300000,7900,27600,5700000
15,ttdramanews,6100000,1100000,16600,17700,6100000
16,mishayoung,10800000,680000,5700,22500,10800000
17,domelipa,10400000,1500000,9100,3500,10400000
18,kyliejenner,12300000,1900000,5500,2600,12300000
19,enhypen,4300000,1100000,24800,14300,4300000
20,kimberly.loaiza,8800000,1200000,12100,4300,8800000
21,ramonvitor,9300000,1900000,7300,2400,9300000
22,txt.bighitent,3800000,1100000,27400,9500,3800000
23,emraynea,5100000,1400000,6600,13500,5100000
24,bp_tiktok,4500000,839600,13900,22200,4500000
25,mtarek.official3,4700000,864200,21900,8000,4700000
26,zeth,8500000,1700000,2200,6200,8500000
27,kurtsworld,4900000,685900,30100,3300,4900000
28,joshtgodfrey,6400000,587600,12800,16300,6400000
29,justinflom,12900000,789200,4500,6200,12900000
30,williesalim,8100000,589200,17400,5400,8100000
31,rosalia,14200000,1200000,3300,2600,14200000
32,birovr,6400000,760900,6100,14300,6400000
33,kiet.ac.quy,5200000,842200,12300,8500,5200000
34,threedotcorey,6300000,1400000,2900,7100,6300000
35,iamferv,6600000,962300,10000,3900,6600000
36,winnermaxyt,13800000,1000000,1800,4500,13800000
37,devankey,6900000,976200,8600,3700,6900000
