Day of the week,CarCount,BikeCount,BusCount,TruckCount,Total,Time,Traffic Situation
3,31,0,4,4,39,0,low
3,49,0,3,3,55,0.010416667,low
3,46,0,3,6,55,0.020833333,low
3,51,0,2,5,58,0.03125,low
3,57,6,15,16,94,0.041666667,normal
3,44,0,5,4,53,0.052083333,low
3,37,0,1,4,42,0.0625,low
3,42,4,4,5,55,0.072916667,low
3,51,0,9,7,67,0.083333333,low
3,34,0,4,7,45,0.09375,low
3,45,0,1,1,47,0.104166667,low
3,45,0,1,3,49,0.114583333,low
3,50,0,3,0,53,0.125,low
3,34,0,4,4,42,0.135416667,low
3,129,22,42,1,194,0.145833333,heavy
3,144,16,49,0,209,0.15625,heavy
3,111,28,20,3,162,0.166666667,normal
3,67,11,10,16,104,0.177083333,normal
3,65,24,7,16,112,0.1875,normal
3,94,27,7,16,144,0.197916667,normal
3,94,20,8,7,129,0.208333333,normal
3,67,29,5,10,111,0.21875,low
3,56,12,2,14,84,0.229166667,normal
3,57,13,3,11,84,0.239583333,low
3,129,22,42,1,194,0.25,heavy
3,144,16,49,0,209,0.260416667,heavy
3,111,28,20,3,162,0.270833333,normal
3,120,27,46,3,196,0.28125,heavy
3,102,39,47,1,189,0.291666667,heavy
3,145,23,27,0,195,0.302083333,heavy
3,114,37,21,5,177,0.3125,heavy
3,108,18,22,1,149,0.322916667,normal
3,122,28,33,1,184,0.333333333,heavy
3,114,39,30,3,186,0.34375,heavy
3,150,36,25,1,212,0.354166667,heavy
3,107,10,49,2,168,0.364583333,heavy
3,124,24,22,0,170,0.375,heavy
3,77,16,39,29,161,0.385416667,high
3,15,23,30,21,89,0.395833333,normal
3,32,22,38,21,113,0.40625,high
3,68,13,29,24,134,0.416666667,high
3,27,16,36,30,109,0.427083333,normal
3,76,7,11,15,109,0.4375,normal
3,41,23,20,17,101,0.447916667,normal
3,33,10,3,29,75,0.458333333,normal
3,58,8,14,29,109,0.46875,normal
3,65,7,11,26,109,0.479166667,normal
3,47,9,6,29,91,0.489583333,normal
3,38,10,5,25,78,0.5,normal
3,57,8,12,29,106,0.510416667,normal
3,20,6,4,20,50,0.520833333,normal
3,24,9,14,23,70,0.53125,normal
3,52,10,13,21,96,0.541666667,normal
3,79,15,36,18,148,0.552083333,high
3,84,24,22,18,148,0.5625,normal
3,59,19,35,16,129,0.572916667,high
3,88,26,31,19,164,0.583333333,high
3,24,11,32,13,80,0.59375,normal
3,110,17,23,20,170,0.604166667,heavy
3,29,26,5,6,66,0.614583333,low
3,43,26,11,20,100,0.625,normal
3,68,28,9,15,120,0.635416667,normal
3,108,16,8,18,150,0.645833333,normal
3,101,26,8,14,149,0.65625,normal
3,141,31,36,6,214,0.666666667,heavy
3,120,25,28,5,178,0.677083333,heavy
3,137,23,44,5,209,0.6875,heavy
3,124,11,30,7,172,0.697916667,heavy
3,145,25,49,7,226,0.708333333,heavy
3,122,37,23,8,190,0.71875,heavy
3,136,30,20,9,195,0.729166667,heavy
3,145,18,40,9,212,0.739583333,heavy
3,138,34,28,5,205,0.75,heavy
3,123,10,29,8,170,0.760416667,heavy
3,105,15,21,9,150,0.770833333,normal
3,75,22,20,11,128,0.78125,normal
3,90,12,10,13,125,0.791666667,normal
3,102,22,20,16,160,0.802083333,normal
3,61,18,15,27,121,0.8125,high
3,70,8,14,6,98,0.822916667,low
3,80,17,12,34,143,0.833333333,high
3,62,12,14,19,107,0.84375,normal
3,96,5,11,13,125,0.854166667,normal
3,102,6,12,13,133,0.864583333,normal
3,91,14,15,6,126,0.875,normal
3,95,8,17,13,133,0.885416667,normal
3,75,15,12,21,123,0.895833333,high
3,53,21,20,10,104,0.90625,normal
3,13,1,0,19,33,0.916666667,normal
3,10,0,1,24,35,0.927083333,normal
3,16,2,0,33,51,0.9375,normal
3,11,1,0,29,41,0.947916667,normal
3,18,2,1,13,34,0.958333333,normal
3,15,0,1,11,27,0.96875,low
3,14,1,0,33,48,0.979166667,normal
3,17,2,0,22,41,0.989583333,normal
4,12,2,1,17,32,0,normal
4,18,0,0,29,47,0.010416667,normal
4,16,1,0,14,31,0.020833333,normal
4,20,0,0,14,34,0.03125,normal
4,20,1,1,30,52,0.041666667,normal
4,15,0,1,23,39,0.052083333,normal
4,16,0,1,26,43,0.0625,normal
4,18,4,0,11,33,0.072916667,low
4,17,3,1,36,57,0.083333333,normal
4,14,4,1,10,29,0.09375,low
4,18,2,1,25,46,0.104166667,normal
4,12,2,0,19,33,0.114583333,normal
4,11,4,0,30,45,0.125,normal
4,19,1,1,36,57,0.135416667,normal
4,10,4,0,36,50,0.145833333,normal
4,20,1,1,32,54,0.15625,normal
4,15,5,1,40,61,0.166666667,normal
4,104,6,5,1,116,0.177083333,normal
4,109,25,3,8,145,0.1875,normal
4,82,23,8,20,133,0.197916667,normal
4,81,25,1,18,125,0.208333333,normal
4,95,16,10,1,122,0.21875,normal
4,91,24,7,6,128,0.229166667,normal
4,81,30,10,0,121,0.239583333,normal
4,125,13,26,2,166,0.25,high
4,125,39,49,3,216,0.260416667,heavy
4,125,34,37,1,197,0.270833333,heavy
4,125,19,25,4,173,0.28125,heavy
4,125,15,49,0,189,0.291666667,heavy
4,125,32,50,5,212,0.302083333,heavy
4,125,38,50,1,214,0.3125,heavy
4,125,29,29,3,186,0.322916667,heavy
4,125,31,48,4,208,0.333333333,heavy
4,125,32,50,0,207,0.34375,heavy
4,125,31,45,0,201,0.354166667,heavy
4,125,21,20,1,167,0.364583333,normal
4,125,28,36,0,189,0.375,heavy
4,39,10,37,16,102,0.385416667,normal
4,89,8,12,13,122,0.395833333,normal
4,51,16,16,13,96,0.40625,normal
4,17,9,18,28,72,0.416666667,normal
4,48,25,36,21,130,0.427083333,high
4,93,7,30,16,146,0.4375,high
4,55,15,36,15,121,0.447916667,high
4,51,10,8,22,91,0.458333333,normal
4,51,7,3,24,85,0.46875,normal
4,51,9,7,30,97,0.479166667,normal
4,51,7,14,20,92,0.489583333,normal
4,51,10,14,20,95,0.5,normal
4,51,10,6,22,89,0.510416667,normal
4,51,8,11,22,92,0.520833333,normal
4,51,6,10,26,93,0.53125,normal
4,51,7,7,27,92,0.541666667,normal
4,104,17,25,20,166,0.552083333,normal
4,6,28,27,14,75,0.5625,normal
